Termo,Ocorrência
driven,748
oriented,737
bubble,715
warm,713
builders,712
spatial,705
treatment,696
packed,643
sampling,642
interchange,635
stateless,632
accounting,603
wizard,585
quantity,539
glass,526
localization,526
digital,524
bytecode,520
portability,504
concatenation,500
dimension,489
licensing,486
overloading,461
pane,460
entropy,451
arithmetic,430
justification,430
seat,423
decrement,420
marshalling,394
operand,383
zombie,370
inclusive,344
simulation,336
concatenate,328
encapsulation,315
analog,310
graphical,304
acknowledgement,303
adaptive,295
relational,276
ternary,272
initiative,266
prevention,261
configurator,260
firmware,229
dso,223
mathematical,223
bitwise,214
interoperability,212
cleansing,211
creep,208
electronic,200
recalculate,190
proximity,187
hexadecimal,187
authoring,175
alphanumeric,172
rtm,168
deduplication,164
subscript,164
archiving,142
pseudocode,142
assurance,141
cycling,123
tiled,122
polymorphism,109
microcode,107
virtualization,101
ruler,100
taskbar,98
microservice,95
bak,92
standardization,92
underflow,81
generalization,81
exploded,78
applet,74
executive,73
megabyte,72
congestion,66
annotating,66
upward,64
independence,62
backdoor,61
parametric,60
drafting,56
widow,54
overlaid,51
cooling,49
subroutine,49
recalculation,47
unstructured,45
algorithmic,40
integrator,36
sensing,34
enablement,21
manufacturing,19
multitasking,15
terabyte,12
dsi,12
codification,12
reinforcement,10
ramification,10
portlet,8
datalog,6
subprogram,5
itemization,4
siem,3
overcharge,2
to,0
low-level,0
or,0
of,0
and,0
pop-up,0
self-extracting,0
time-out,0
aspect-oriented,0
autotracing,0
binary-coded,0
webware,0
nor,0
single-user,0
plug-in,0
business-to-business,0
repaginate,0
casters-up,0
not,0
cloud-based,0
cross-compiler,0
bake-off,0
computer-aided,0
type-safe,0
pull-down,0
public-domain,0
moving-bar,0
dsom,0
double-byte,0
two-tier,0
real-time,0
attribute-based,0
fall-over,0
file-level,0
read-only,0
block-level,0
break-even,0
i-beam,0
business-to-consumer,0
outgrowth,0
filtrate,0
abstractedness,0
