Termo,Ocorrência
algorithm,144
increment,143
applications,140
architecture,140
breakpoint,139
identifier,137
recursion,134
lambda,133
composite,133
checksum,132
encoder,131
collapse,130
notation,126
hashing,124
specification,124
declare,122
invocation,122
truncate,121
interchange,121
cell,121
localization,117
ide,117
bundled,116
aggregate,115
loss,114
robust,113
compressed,110
instruction,109
wizard,109
infrastructure,108
eof,107
distributed,106
paste,105
dimensions,105
portable,104
stub,103
overload,102
floating,99
nesting,99
quality,99
iteration,98
dll,95
mining,91
sandbox,90
mask,90
delivery,88
online,88
hardware,86
undocumented,85
software,81
graphics,81
delimiter,80
primitive,79
synchronization,77
derived,73
normalization,73
minimize,71
overhead,70
integrity,68
flip,63
availability,62
learn,61
opcode,60
spatial,60
viewer,60
marshalling,59
abstraction,59
procedure,59
learning,59
builders,58
browse,57
charge,57
cost,57
decrease,54
programming,53
product,52
computing,50
bubble,48
decrement,46
reboot,46
compound,44
sampling,43
exclusive,43
licensing,43
ansi,42
motion,42
eol,41
pane,40
candidate,40
stateless,40
portability,39
associate,39
advice,39
looping,39
concatenation,38
integrated,37
business,36
unpack,36
accounting,34
driven,34
glass,32
ee,32
dimension,30
structured,29
ternary,29
unusual,27
seat,26
assembler,25
operating,25
adaptive,24
arithmetic,24
operand,24
packed,24
digital,23
treatment,23
warm,23
analog,22
bitwise,22
cleansing,21
inclusive,21
acknowledgement,21
overloading,20
prevention,19
administrator,19
routine,19
deduplication,19
oriented,18
ruler,18
alphanumeric,18
entropy,17
subscript,17
encapsulation,17
underflow,16
relational,16
dso,16
graphical,15
zombie,15
bytecode,14
solutions,13
proximity,13
simulation,13
interoperability,11
configurator,11
quantity,11
rtm,10
concatenate,10
hexadecimal,10
cycling,9
enablement,8
taskbar,8
annotating,8
parametric,8
polymorphism,7
justify,7
mathematical,7
applet,6
independence,6
archiving,6
recalculate,6
standardization,6
backdoor,5
authoring,5
firmware,5
justification,4
virtualization,4
outcome,4
bak,3
drafting,3
sensing,3
tiled,3
assurance,3
subroutine,3
megabyte,2
unstructured,2
creep,2
exploded,2
overlaid,2
congestion,2
recalculation,2
edi,1
executive,1
portlet,1
electronic,1
upward,1
multitasking,1
widow,1
initiative,1
pseudocode,1
cooling,1
algorithmic,1
codification,1
itemization,1
integrator,0
to,0
low-level,0
or,0
of,0
and,0
pop-up,0
self-extracting,0
time-out,0
aspect-oriented,0
autotracing,0
binary-coded,0
webware,0
nor,0
single-user,0
plug-in,0
business-to-business,0
repaginate,0
casters-up,0
not,0
siem,0
cloud-based,0
cross-compiler,0
bake-off,0
computer-aided,0
type-safe,0
datalog,0
pull-down,0
public-domain,0
moving-bar,0
manufacturing,0
dsom,0
terabyte,0
microcode,0
double-byte,0
two-tier,0
real-time,0
attribute-based,0
fall-over,0
file-level,0
read-only,0
dsi,0
block-level,0
break-even,0
microservice,0
i-beam,0
business-to-consumer,0
outgrowth,0
filtrate,0
generalization,0
subprogram,0
abstractedness,0
overcharge,0
reinforcement,0
ramification,0
